Exerc°cio
Abdominal Bicicleta
Abdominal infra no solo
Abdominal PÇ a PÇ
Abdominal Remador
Abdominal Reto
Abdominal Reto na Prancha
Abdominal Reto Vela
Abdominal roda
Abdominal Twist
Abduá∆o de quadril com caneleira
Afundo
Agachamento
Agachamento B£lgaro
Agachamento com Arremesso
Agachamento Livre
Arco e Flecha na banda
Arremesso
Banco S¢leo
Barra fixa
Deslocamento Lateral com Miniband
Bicicleta
Cadeira Abdutora
Cadeira Adutora
Cadeira Extensora
Cadeira Flexora
C∆o Caáador
Crucifixo
Crucifixo Inclinado
Crucifixo Inverso na Polia
Crucifixo Inverso Sentado
Crucifixo no Crossover
Desenvolvimento Deltoide
Desenvolvimento Lombar
Desenvolvimento Quebrado
Dorsiflex∆o Unilateral com El†stico
Elevaá∆o de Quadril com Abduá∆o na Banda El†stica
Elevaá∆o de quadril com flex∆o de joelho no pano
Elevaá∆o de Quadril e Flex∆o de Joelho na Bola
Elevaá∆o de Quadril Unilateral no Banco
Elevaá∆o Frontal
Elevaá∆o Frontal na Polia
Elevaá∆o Lateral
Elevaá∆o Lateral e Frontal
Elevaá∆o PÇlvica
Eliptico
Equil°brio em cruz no trampolim
Equilibrio Monopedal II
Esteira
Flex∆o de Braáo
Flex∆o de braáo Declinada
Flex∆o de braáo na bola
Flex∆o de braáo spider man
Flex∆o N¢rdica
Flex∆o N¢rdica Reversa
Flex∆o Plantar com Halteres
Flex∆o Plantar na M†quina
Fly Inverso
Fly no peck deck
Gato Camelo
Lat PullDown
Leg Press
Leg Pull Down
Levantamento Terra
Mobilidade de Ombro I
Mobilidade de Quadril - C¢coras
Mobilidade de Quadril - Iliopsoas
Mobilidade de Quadril Alternado
Mobilidade de Quadril em S
Mobilidade de tornozelo
Mobilidade Posterior de Coxa
Mobilidade Quadril - Sumì
Mobilidade Tor†cica na Parede
Nataá∆o
Ostra
Panturrilha Leg Press
Peck Deck
Pista
Polichinelo
Polichinelo (Tempo)
Prancha
Prancha DinÉmica na Bola
Prancha Dorsal
Prancha Lateral
Prancha Lateral com Rotaá∆o
Pulley frente
Remada Alta
Remada Alta na Polia
Remada Curvada
Remada Frontal M†quina
Remada Horizontal com Movimentaá∆o do Tronco
Remada Horizontal sem Movimentaá∆o do Tronco
Rosca Alternada
Rosca Biceps na Polia
Rosca Direta
Rosca Direta com Halteres
Rosca Inclinado
Rosca Martelo com Halteres
Rotaá∆o Externa com El†stico
Rotaá∆o Externa com Halter
Rotaá∆o Externa na Polia
Skipping Alto
Skipping Baixo
Stiff
Superman
Supino
Supino (Tempo)
Supino Declinado
Supino Inclinado
Triceps Coice na Polia
Tr°ceps Francàs
Tr°ceps Polia
Tr°ceps Testa
Tr°ceps Testa polia
Abdominal reto no Smith
Inclinaá∆o Lateral do Tronco
Elevaá∆o Lateral Sentado
Encolhimento no Smith

Supino com Halteres
Supino Inclinado com Halteres
Flex∆o de braáo Declinada
Flex∆o de braáo com rotaá∆o de tronco
Prancha tocando os ombros
Prancha tocando os pÇs
Supino na M†quina
Supino no Smith
Supino com arremesso
Flex∆o com impuls∆o
Pullover
Pulley com pegada Supinada
Subida unilateral no Degrau
Abdominal Canoa
Face Pull
Subida unilateral no Degrau
Kettlebell Swing
Abdominal Escalador
Burpee
Remada Invertida no Smith
Salto bipodal
Remada Horizontal com pegada aberta
Remada Cavalinho
Crucifixo inverso em pÇ
Crucifixo inverso com apoio ventral no banco
Crucifixo inverso ao n°vel da esc†pula
Abdominal M†quina
LED Desloc. Anteroposterior
LED Desloc. MÇdio lateral
LED Desloc. MÇdio lateral Cruzado
LED Prancha Super Man
Stiff Polia Baixa
Sissy Squat
Agachamento livre com peso do corpo
Agachamento smith
Leg press 45ß
Cadeira Adutora + Cadeira Abdutora
Crucifixo m†quina
Mesa flexora (deitada)
Alongamento piriforme com bola
Corda
Abdominal canoa
Abdominal canoa lateral
Abdominal obliquo na polia alta
Abdominal Obliquo na polia mÇdia
Pulley com pegada Supinada
Cadeira Extensora - Perna Direita
Descanso de 2 minutos
Esteira - 5 km o mais r†pido poss°vel
Esteira - 2 km o mais r†pido poss°vel
Esteira - 3 km o mais r†pido poss°vel
Esteira - 10 km o mais r†pido poss°vel
Rosca Inversa
Rosca Scott
Extens∆o de quadril com el†stico
Flex∆o do arco plantar com estabilidade
Fortalecimento isomÇtrico do arco plantar

Alongamento Iliotibial I
Alongamento Iliotibial II
Alongamento Iliotibial III

c∆o caáador com a bola
Esteira Intervalada
Mobilidade Quadril - Abduá∆o/Aduá∆o
Mobilidade de Pelve na bola
Mobilidade de Pelve no solo
Afundo com salto
Afundo com Elevaá∆o de Joelhos
Agachamento B£lgaro com salto
Agachamento com Salto
Cadeira Flexora unilateral
Salto Unipodal na caixa
Salto unipodal
Salto unipodal com descida
Salto bipodal na caixa
Kettlebell Swing
Agachamento B£lgaro c/ salto cone
Semi-agachamento com abduá∆o
Saltitos Bipodais
Equil°brio em 4 apoios na bola
Abdominal Escalador
